date,training_load,fatigue_hooper,soreness_hooper,stress_hooper,sleep_hooper,alcohol,late_caffeine,screen_before_bed,late_meal,is_sick,is_injured,score,diagnosis
2025-08-20,高,4,1,3,4,1,1,1,0,0,0,73.0,Well-adapted
2025-08-21,极高,3,3,2,1,0,0,0,0,0,0,75.0,Well-adapted
2025-08-22,高,5,3,2,4,1,0,0,0,0,0,66.0,FOR
2025-08-23,低,3,3,1,3,1,0,0,0,0,0,84.0,Well-adapted
2025-08-24,高,1,1,3,1,0,0,0,0,0,0,90.0,Well-adapted
2025-08-25,极高,2,1,2,2,0,0,0,0,0,0,89.0,Well-adapted
2025-08-26,极高,5,3,2,3,0,0,0,0,0,0,68.0,FOR
2025-08-27,低,3,3,2,4,0,1,0,0,0,0,84.0,Well-adapted
2025-08-28,高,3,2,3,3,1,0,0,0,0,0,62.0,Well-adapted
2025-08-29,极高,3,2,2,1,0,0,0,0,0,0,80.0,Well-adapted
