date,training_load,fatigue_hooper,soreness_hooper,stress_hooper,sleep_hooper,alcohol,late_caffeine,screen_before_bed,late_meal,is_sick,is_injured,score,diagnosis
2025-09-01,中,2,2,1,1,0,0,0,1,0,0,89.0,Well-adapted
2025-09-02,极高,1,3,2,4,0,0,1,1,0,0,82.0,Well-adapted
2025-09-03,中,6,6,3,7,1,0,1,0,0,0,57.0,FOR
2025-09-04,低,4,3,3,5,1,0,0,0,0,0,82.0,Well-adapted
2025-09-05,中,2,4,4,2,0,0,0,0,0,0,86.0,Well-adapted
2025-09-06,极高,1,3,2,1,0,0,0,0,0,0,85.0,Well-adapted
2025-09-07,中,7,6,4,7,0,1,0,0,0,0,58.0,FOR
2025-09-08,低,5,4,5,5,0,0,0,0,0,0,77.0,Well-adapted
2025-09-09,中,2,2,2,4,0,0,0,0,0,0,88.0,Well-adapted
2025-09-10,极高,4,4,2,5,1,0,0,0,0,0,67.0,FOR
2025-09-11,中,7,6,6,5,0,0,0,0,0,0,55.0,FOR
2025-09-12,低,6,5,6,7,0,0,1,0,0,0,47.0,FOR
2025-09-13,低,4,6,5,5,0,0,0,0,0,0,47.0,FOR
2025-09-14,低,7,4,4,7,1,0,0,0,0,0,50.0,FOR
2025-09-15,低,6,4,5,7,0,1,0,0,0,0,44.0,NFOR
2025-09-16,低,6,6,7,7,0,0,1,0,0,0,36.0,NFOR
2025-09-17,低,7,6,7,6,0,0,0,0,0,0,34.0,NFOR
2025-09-18,低,7,7,7,7,1,0,1,1,0,0,35.0,NFOR
2025-09-19,低,7,7,7,7,0,0,0,0,0,0,33.0,NFOR
2025-09-20,低,7,7,7,7,1,0,0,0,0,0,33.0,NFOR
2025-09-21,低,7,7,7,7,0,0,1,0,0,0,33.0,NFOR
2025-09-22,低,7,7,7,7,0,1,0,0,0,0,32.0,NFOR
2025-09-23,低,7,7,7,7,1,0,1,0,0,0,33.0,NFOR
2025-09-24,低,7,7,7,7,0,0,0,0,0,0,33.0,NFOR
2025-09-25,低,7,7,7,7,0,1,0,1,0,0,33.0,NFOR
2025-09-26,低,7,7,7,7,1,0,0,0,0,0,33.0,NFOR
2025-09-27,低,7,7,7,7,1,1,0,0,0,0,32.0,NFOR
2025-09-28,低,7,7,7,7,0,0,0,0,0,0,33.0,NFOR
2025-09-29,低,7,7,7,7,0,1,1,0,0,0,32.0,NFOR
2025-09-30,低,7,7,7,7,0,0,0,0,0,0,33.0,NFOR
